category,key,value,period
metric,operating_cash_flow,-391781000,2025-12-31
metric,capex,4832000,2025-12-31
metric,free_cash_flow,,
metric,cash,232185000,2025-12-31
metric,current_assets,514080000,2025-12-31
metric,current_liabilities,92815000,2025-12-31
metric,accounts_payable,9803000,2025-12-31
metric,revenue,68556000,2025-12-31
metric,cogs,26000,2025-12-31
metric,operating_income,-479328000,2025-12-31
metric,interest_expense,,
metric,net_income,-437987000,2025-12-31
metric,long_term_debt,,
metric,current_long_term_debt,,
derived,current_ratio,5.54,
derived,days_payable_outstanding,137619.0,
derived,free_cash_flow,-396613000,
credit_rating,mention,A core element of our business strategy is to successfully develop our product candidate pipeline.,
credit_rating,mention,A from the HBV virus can become integrated into human DNA as integrated DNA (intDNA).,
credit_rating,mention,"Agreement, we expect to continue to incur net operating losses for the foreseeable future.",
credit_rating,mention,"Amended Alnylam Agreement and as a result, we separately paid $10.",
credit_rating,mention,"As of December&#160;31, 2025, the Company also has net operating loss carryforwards of $ 34.",
credit_rating,mention,"As of December&#160;31, 2025, the Company has net operating loss carryforwards of $ 1.",
credit_rating,mention,"As of December&#160;31, 2025, we had net operating loss carryforwards of $1.",
credit_rating,mention,"At this time, we cannot predict what form such strategic collaborations or licenses might take.",
credit_rating,mention,"Based on the Company&#8217;s current operating plan, management believes that the $ 781.",
credit_rating,mention,"Based upon our current operating plan, we believe that the $781.",
credit_rating,mention,"Rate Risk We had cash, cash equivalents and restricted cash and cash equivalents of $241.",
credit_rating,mention,a therapy does not imply that an adequate reimbursement rate will be approved.,
credit_rating,mention,"abilities, noncurrent 89,054 &#160; 90,139 &#160; Total operating lease liabilities $ 97,852 &#160; $ 97,891 &#160; 10.",
credit_rating,mention,ability to commercialize our product candidates and generate revenue.,
credit_rating,mention,able financial reports and effectively prevent fraud and operate successfully as a public company.,
credit_rating,mention,able of Contents Masking of TCEs is a strategy designed to circumvent these limitations.,
credit_rating,mention,"acity or yields, any of which would negatively impact our operating results.",
credit_rating,mention,acquisitions may result in even more resources being concentrated amongst our competitors.,
credit_rating,mention,acquisitions may result in even more resources being concentrated in our competitors.,
credit_rating,mention,additional costs to us or impair our ability to generate revenue from future product sales or other sources.,
credit_rating,mention,"adequate and well-controlled clinical trials to demonstrate the safety, purity and potency of its product.",
credit_rating,mention,adjusting our net loss for non-cash items and changes in operating assets and liabilities.,
credit_rating,mention,adway Commission (COSO) in Internal Control &#8212; Integrated Framework (2013 Framework).,
credit_rating,mention,"agnostic use at 50% of the non-diagnostic product rate, in each case subject to standard reductions and offsets.",
credit_rating,mention,aining lease payments and estimated incremental borrowing rate upon lease modification.,
credit_rating,mention,al (n=58) show that VIR&#8209;5500 was generally well tolerated with no dose&#8209;limiting toxicities observed to date.,
credit_rating,mention,"al qualified personnel, or succeed at effectively integrating employees into our operations.",
credit_rating,mention,al statutory income tax rate 21.,
credit_rating,mention,al trade policies may adversely impact our business and operating results.,
credit_rating,mention,alize our product candidates and our ability to generate product revenue will be adversely affected.,
credit_rating,mention,"alize our product candidates, and our ability to generate product revenue will be adversely affected.",
credit_rating,mention,all interfering RNA; TCE: T-cell engager Tobevibart incorporates Xencor&#8217;s Xtend TM and other Fc technologies.,
credit_rating,mention,ally all of the fair value of the assets acquired is concentrated in a group of similar identifiable assets.,
credit_rating,mention,ally increase our anticipated net operating losses.,
credit_rating,mention,alth and Human Services&#8217; Administration for Strategic Preparedness and Response.,
credit_rating,mention,alty rates are subject to specified reductions and offsets.,
credit_rating,mention,"an Francisco, California, former corporate headquarter in 2023.",
credit_rating,mention,ance with the policies or procedures may deteriorate.,
credit_rating,mention,"ancial condition, results of operations, business strategy and financial needs.",
credit_rating,mention,and Corporate Governance 124 Item 11.,
credit_rating,mention,and Corporate Governance.,
credit_rating,mention,and Strategy Powering the Immune System to Transform Lives.,
credit_rating,mention,"and approval process, such as Priority Review and Accelerated Approval.",
credit_rating,mention,and commercialize products containing such antibodies incorporating such technologies for all uses.,
credit_rating,mention,and conduct extensive clinical studies to demonstrate the safety and efficacy of our product candidates in humans.,
credit_rating,mention,and eventually commercializing products that generate significant revenue.,
credit_rating,mention,and expenses are translated at average exchange rates throughout the respective periods.,
credit_rating,mention,and expenses are translated at average rates throughout the respective periods.,
credit_rating,mention,"and for our product candidates, we may not be able to generate sufficient revenue to continue our business.",
credit_rating,mention,and liabilities are subject to foreign currency exchange rate fluctuations due to the global nature of our operations.,
credit_rating,mention,and would not impact the Company&#8217;s effective tax rate.,
credit_rating,mention,anding of immunology to address seemingly disparate threats distinguishes us in the field.,
credit_rating,mention,annot assure you that we will be successful in integrating the businesses or technologies we may acquire.,
credit_rating,mention,"annot predict with certainty when, or whether, we will generate sufficient taxable income to use all of our NOLs.",
credit_rating,mention,ant time and resources in response and could generate negative publicity.,
credit_rating,mention,ant unobservable inputs: Unobservable input Value Discount rates 11.,
credit_rating,mention,antly from quarter to quarter and year to year based on operating expenses and other factors.,
credit_rating,mention,antly impact its ability to utilize its net operating loss or tax credit carryforwards prior to expiration.,
credit_rating,mention,any of which could adversely affect our ability to operate our business and our results of operations.,
credit_rating,mention,any of which could negatively impact our ability to operate effectively or execute our strategies.,
credit_rating,mention,any quarterly or annual periods as indications of future operating performance.,
credit_rating,mention,"any&#8217;s clinical and pre-clinical portfolios, and make strategic decisions about business development opportunities.",
credit_rating,mention,any's effective tax rate of ( 0.,
credit_rating,mention,apy shows dose-dependent anti-tumor activity and a well-tolerated safety profile to date in patients with mCRPC.,
credit_rating,mention,"ar Ended December 31 2025 Provision at US federal statutory rate $ ( 91,933 ) 21.",
credit_rating,mention,"ard-looking statements prove to be inaccurate, the inaccuracy may be material.",
credit_rating,mention,are sales are intended to generate funds to satisfy Mr.,
credit_rating,mention,are unable to estimate the exact amount of our operating capital requirements.,
credit_rating,mention,"are used in tobevibart, incorporating Xencor&#8217;s Xtend technology.",
credit_rating,mention,"are used in tobevibart, incorporating Xencor&#8217;s Xtend.",
credit_rating,mention,arily relate to interest rate and market price sensitivities.,
credit_rating,mention,ars using historical exchange rates.,
credit_rating,mention,arties agreed to expand the 2020 GSK Agreement to collaborate on three separate programs.,
credit_rating,mention,"as amended (the Code), which reduced our net operating losses.",
credit_rating,mention,"ase terms, as we generally cannot determine the interest rate implicit in the leases.",
credit_rating,mention,ase the Company&#8217;s effective tax rate by 2.,
credit_rating,mention,ases is recognized on a straight-line basis within operating expenses over the reasonably assured lease term.,
credit_rating,mention,ash flows that the asset (group) is expected to generate.,
credit_rating,mention,"at have materially affected the Company, its business strategy, results of operations or financial condition.",
credit_rating,mention,"ate Information We were incorporated under the laws of the State of Delaware on April 7, 2016.",
credit_rating,mention,ate is based on the constant maturity rate of U.,
credit_rating,mention,"ated manufacturing titer, yield per batch or batch success rates may adversely impact our ability to meet market demand.",
credit_rating,mention,atility that has often been unrelated to the operating performance of particular companies.,
credit_rating,mention,ations and adversely affect our operating results.,
